Ax,Ay,Az,pitch,roll,label
-3.874165,-4.905403,6.104809,164.9057,33.85238,1
-1.15888,-6.575596,8.082125,168.9138,1.288657,1
0.5686012,-6.330549,7.97132,168.6155,-6.464824,1
0.1511286,-6.601483,7.841266,169.7451,-0.0667493,1
-0.7271653,-7.186363,7.463988,171.6837,5.596637,1
-1.145733,-7.587759,7.322296,172.7418,5.59465,1
-0.6311983,-7.427546,7.447371,172.3044,2.504364,1
-0.3786647,-6.945762,7.703096,170.8748,1.633034,1
0.09567286,-6.089099,7.465358,168.4421,-1.547609,1
-0.186173,-5.169243,7.251498,164.4419,1.850154,1
-1.274769,-5.977165,7.402737,168.0026,9.558988,1
-2.7105,-7.926314,7.941533,172.2781,15.10999,1
-2.53792,-8.264563,8.473071,172.8017,11.63906,1
-1.767536,-7.345356,8.539517,170.8492,7.761736,1
-1.16194,-5.842437,8.110806,166.0115,5.715389,1
-0.681937,-4.628139,7.493664,159.8357,3.545728,1
-1.217349,-4.909945,6.9174,163.6872,9.453761,1
-2.225684,-5.808192,6.855935,168.1407,15.61415,1
-2.581916,-6.855163,7.176355,171.0481,14.76872,1
-2.216674,-7.551453,8.56549,171.4072,9.967471,1
-1.148529,-8.005648,8.871473,172.0915,3.73892,1
-1.12211,-8.120991,8.436209,172.6993,5.466835,1
-1.208879,-7.585993,7.736623,172.3358,6.695566,1
-0.9791803,-7.238561,7.51504,171.8263,5.007829,1
-2.268494,-7.076285,6.466649,172.6568,16.15802,1
-1.63374,-8.12029,7.107764,173.7927,7.240133,1
-0.6113438,-7.339813,6.664703,172.892,1.610491,1
-0.7471966,-6.591634,6.869973,170.8834,4.818863,1
-1.752607,-6.223228,6.637578,170.2273,13.11877,1
-1.567616,-5.543948,7.279783,166.4284,9.307473,1
-1.264591,-5.178402,5.915826,167.567,8.885669,1
-1.537191,-5.431781,5.501215,169.3983,11.94827,1
-1.129493,-5.581317,6.081706,168.9554,6.721008,1
0.05520922,-6.01554,5.668381,171.0202,-3.112091,1
0.2023457,-6.60533,6.331793,171.709,-1.524651,1
0.1051771,-7.544388,6.617373,173.3459,-0.9162927,1
0.2345898,-7.56215,6.599566,173.4113,-1.584909,1
-1.038495,-7.22003,6.982976,172.3423,8.27944,1
-0.2542369,-8.175979,7.49542,173.5373,-0.03596543,1
-0.7512937,-8.459857,7.707926,173.8339,4.534479,1
-0.1734582,-8.43027,7.852631,173.6897,-0.09504167,1
-0.1959949,-8.306155,7.684103,173.6435,1.036629,1
-0.3793985,-7.555071,7.769462,172.1752,2.360948,1
-1.095027,-6.501796,7.984733,169.0293,7.495235,1
-2.469838,-5.696191,7.81948,166.1988,17.17572,1
-3.366602,-4.523342,8.133706,157.2997,21.68781,1
-2.102198,-4.167282,8.869471,152.5325,9.565646,1
-1.001397,-4.284767,9.200655,153.2795,3.536497,1
-0.9309011,-3.631791,9.741343,143.0246,4.942672,1
-2.294133,-2.288804,10.02555,117.2881,14.96003,1
-2.643919,-0.8487311,9.270607,97.63109,17.00487,1
-3.061765,0.1990214,9.065709,90.24614,19.55075,1
-4.520148,2.197354,9.294606,58.85147,27.06319,1
-4.322705,3.151237,9.583469,43.6629,22.48894,1
-3.415023,3.563886,9.986086,38.18264,16.11053,1
-3.545437,3.094236,9.117088,43.62248,21.09476,1
-4.44534,3.379049,6.786357,30.60053,34.35773,1
-5.144368,3.604678,6.036678,24.84072,38.10118,1
-4.846869,3.621581,6.659098,26.73111,31.44021,1
-4.576767,3.71559,7.326463,27.7554,28.03,1
-4.774999,4.143113,7.653117,24.02366,28.63431,1
-4.977187,4.946707,8.124437,18.65425,27.26943,1
-5.67776,3.12211,8.348211,43.94535,33.921,1
-5.633834,3.720009,6.644415,27.0244,37.85141,1
-4.626266,2.982432,6.812827,38.39228,30.12463,1
-4.733504,2.817789,7.427743,43.02998,30.43573,1
-4.399387,2.483938,7.23132,49.30653,29.59948,1
-4.653441,2.323262,7.295341,53.03214,31.7369,1
-3.673681,2.568602,7.575306,48.72121,22.41727,1
-1.094394,6.883834,8.650863,17.73889,1.095951,1
-2.284728,4.112766,9.219625,36.43992,15.10455,1
-4.568302,3.542103,8.013282,34.44807,32.65296,1
-2.176371,2.702725,7.679374,47.72763,9.845274,1
0.06642878,1.223355,6.507732,75.67245,-7.527133,1
-1.516879,1.04026,6.638596,80.16328,16.84369,1
-2.507066,-0.481539,7.569137,93.05778,19.66032,1
-2.733066,-1.562293,9.376558,106.156,15.44803,1
-2.875756,-2.252664,9.332815,119.2895,16.86439,1
-4.046281,-2.443213,8.280401,126.4414,28.07813,1
-5.475559,-2.763789,7.031485,137.9839,39.53566,1
-5.371397,-2.64282,6.491208,137.7033,38.01621,1
-5.081395,-2.923226,6.225057,144.1999,36.09201,1
-5.606847,-3.35964,6.928853,148.6163,35.94264,1
-6.235605,-4.072083,6.862389,157.1434,38.56241,1
-6.821955,-3.415215,5.578043,154.625,49.1817,1
-7.999246,-3.432359,3.432575,164.214,62.42544,1
-8.167873,-3.190641,3.815581,159.9204,58.58922,1
-7.310409,-5.552545,6.665862,166.9809,35.33208,1
-5.14417,-7.337129,7.505923,171.4625,21.69555,1
-3.02962,-8.636209,8.838221,173.0381,10.15624,1
-1.353561,-9.582274,8.882195,174.3677,3.418028,1
-0.6185119,-9.42734,8.587929,174.4545,1.691405,1
-0.5855843,-9.374241,8.315044,174.5887,2.641,1
-0.5145045,-8.991061,6.731294,175.261,2.597594,1
-2.29059,-9.56684,5.340565,176.6175,14.80092,1
-1.878086,-9.315742,4.818705,176.8153,9.560192,1
-0.1498956,-8.874084,4.119018,177.0132,-2.554354,1
1.739596,-7.913658,2.776289,177.4734,-13.34062,1
1.699037,-7.79812,1.056794,179.0233,-12.23221,1
1.430324,-8.157097,-0.1649622,-89.88529,-9.179886,1
1.007607,-8.79631,0.08086372,112.4425,-5.494044,1
0.7277493,-8.386891,1.00962,162.2779,-4.342488,1
1.200072,-10.75715,3.296034,174.2621,-6.328903,1
0.6914699,-12.38221,5.004284,177.1321,-2.123763,1
-0.5489843,-11.86731,3.558483,178.3167,4.550312,1
-2.781364,-10.61329,1.135341,90.86357,13.87582,1
-4.823225,-9.93742,-0.28054,-95.32834,27.66558,1
-5.387878,-8.733221,-1.51743,-157.6405,33.1041,1
-5.354863,-8.568642,-0.9719224,-173.9427,32.00481,1
-4.569093,-10.11485,0.4447538,91.16593,21.983,1
-4.911345,-11.2035,-0.4023678,-111.9888,23.44764,1
-5.880369,-10.84539,-1.327022,-162.3875,29.75842,1
-6.637977,-7.879233,-1.938863,-173.6684,43.67818,1
-7.389418,-5.500059,-2.100802,-174.3044,55.87856,1
-8.539747,-4.542544,-2.703325,-171.7877,60.1267,1
-7.365669,-4.576104,-2.414022,-173.2864,53.61281,1
-7.19605,-5.658293,-2.831908,-174.8296,46.76598,1
-6.947145,-6.756636,-3.588202,-175.4757,40.30662,1
-7.007023,-7.363417,-3.39121,-176.3858,40.37389,1
-6.835245,-6.180943,-2.840975,-175.7163,46.78698,1
-6.250013,-4.461373,-3.172081,-169.8477,49.95689,1
-6.313797,-3.302447,-4.671627,-154.4206,46.85778,1
-5.943677,-2.94448,-5.267379,-148.2166,43.40879,1
-5.630282,-3.099197,-5.423499,-150.6687,41.17636,1
-5.411873,-3.28512,-5.69776,-152.3908,38.60423,1
-5.224392,-3.493209,-5.983598,-154.0768,36.22689,1
-5.4343,-3.090932,-6.428554,-146.1556,37.35516,1
-6.269681,-2.14461,-7.453779,-122.4192,39.2755,1
-6.746078,-1.227478,-7.519746,-104.1142,42.26434,1
-6.696387,-0.8617258,-7.204042,-97.9764,43.10385,1
-5.965703,-1.109666,-6.451747,-102.6946,42.18227,1
-5.307185,-1.796537,-6.473765,-118.0223,36.84288,1
-5.081503,-2.009555,-7.447125,-119.3617,31.89253,1
-5.283657,-1.775506,-8.223774,-112.0436,31.73919,1
-5.553265,-1.815754,-7.681719,-114.2782,36.16293,1
-5.832553,-1.973059,-7.104475,-119.8698,39.44398,1
-5.825162,-1.619138,-7.216942,-111.288,38.16694,1
-5.349262,-1.241558,-7.817872,-102.6091,32.66718,1
-5.327253,-0.8706327,-8.966486,-96.29527,29.56219,1
-4.924911,-0.5570363,-9.072279,-92.9803,27.71641,1
-4.301791,-0.5307111,-8.437927,-92.55255,26.41235,1
-4.032886,-0.8042513,-7.913027,-95.48277,26.84915,1
-4.342746,-1.062975,-8.117588,-98.7317,28.27432,1
-5.048689,-1.432917,-8.491945,-104.582,31.10942,1
-5.961392,-1.308129,-8.677114,-102.3259,35.35847,1
-6.516376,-0.6376799,-8.633623,-94.70754,37.83305,1
-6.075127,-0.504185,-7.857803,-93.12551,37.90664,1
-5.433301,-1.11545,-7.521992,-101.4125,34.73969,1
-5.087893,-1.666901,-7.578099,-111.6226,32.45574,1
-5.030271,-1.801172,-7.547235,-114.2316,32.85357,1
-4.960201,-1.538458,-7.656237,-108.1497,32.23753,1
-4.991166,-0.9861576,-8.231161,-98.39484,30.58857,1
-5.09228,-0.4781785,-8.498791,-93.02342,30.81574,1
-5.254029,-0.09260983,-8.068303,-90.65225,33.81345,1
-5.448892,-0.03572202,-7.630281,-90.21615,36.37991,1
-5.244421,-0.6661388,-7.237063,-95.41909,35.86544,1
-4.974473,-2.119202,-7.484536,-122.0175,32.05537,1
-5.545999,-2.131522,-8.319318,-119.5891,32.92488,1
-6.026463,-1.795223,-8.528013,-111.9052,35.22867,1
-5.940079,-1.57827,-7.958892,-108.5345,36.75825,1
-5.790992,-1.69821,-7.531103,-112.1079,37.10414,1
-5.816567,-1.814387,-7.709664,-114.1717,36.10364,1
-5.679309,-1.764422,-7.842291,-112.651,34.89224,1
-5.587534,-1.502335,-8.017305,-106.8489,34.12887,1
-5.088742,-1.668453,-7.330228,-111.8508,33.96523,1
-4.883241,-1.769239,-6.912455,-115.2722,34.48651,1
-5.350808,-1.745952,-7.167141,-114.0228,36.44262,1
-5.760391,-1.677283,-7.503752,-111.6681,37.11255,1
-5.688609,-1.406929,-7.537626,-105.9463,36.47307,1
-5.313329,-0.9981667,-7.538912,-98.90715,34.36048,1
-4.454561,-0.8995674,-7.566168,-96.93616,28.66483,1
-3.4013,-0.4313918,-7.177939,-92.42372,23.38437,1
-2.642385,0.1525215,-7.285586,-89.74731,18.05549,1
-2.974445,2.617716,-8.700083,-51.28722,18.62681,1
-5.665491,-0.9383137,-10.86059,-96.95375,29.1344,1
-10.67475,-4.653677,-11.1565,-146.035,44.17741,1
-8.247776,-3.894605,-8.752483,-148.6846,40.38433,1
-4.785947,-1.932529,-6.991488,-115.8157,29.07975,1
-4.785994,-0.4813366,-7.289252,-96.44727,32.93372,1
-6.807909,-0.6751904,-7.602514,-95.93739,44.01978,1
-8.773027,-2.722209,-6.704271,-138.96,51.92622,1
-7.915998,-2.648586,-6.095166,-140.183,49.79166,1
-6.159275,-1.698237,-6.734771,-114.9197,38.1958,1
-5.1401,-1.616872,-7.661416,-109.9748,30.56816,1
-5.073849,-2.192687,-7.113765,-124.9815,34.57442,1
-5.405643,-3.387096,-7.106138,-146.6459,34.42355,1
-6.154778,-4.339315,-7.671658,-156.847,35.03098,1
-7.022614,-4.853901,-7.965668,-161.0607,37.58025,1
-7.182112,-5.303969,-7.23831,-165.4224,39.20221,1
-6.852082,-6.549541,-5.399085,-172.149,38.58348,1
-5.284571,-7.643839,-3.720031,-175.9253,28.94742,1
-4.574863,-8.899635,-2.470676,-177.966,24.44909,1
-4.214279,-9.62838,-1.964408,-178.7004,22.19793,1
-4.499424,-9.792609,-0.9902929,-179.3805,24.96232,1
-4.148733,-8.569528,-0.2008863,90.11477,26.28809,1
-3.674995,-10.90336,0.621352,157.2468,16.71005,1
-3.806156,-11.55147,1.092668,173.9241,18.02137,1
-3.075795,-12.10494,1.619905,177.9703,12.8465,1
-1.977422,-12.49471,2.306571,178.8091,7.132502,1
-1.510694,-12.50416,3.239594,178.7271,5.95032,1
-0.7296212,-12.57476,3.905601,178.5645,2.027242,1
0.04205112,-13.13469,3.044991,178.9733,-1.260262,1
0.3175691,-12.73239,1.87096,179.3427,-1.848598,1
-0.01757288,-11.88303,1.105196,179.5642,0.6368571,1
-0.8106407,-10.83571,1.833129,179.08,5.742373,1
2.029663,-8.665881,2.213501,178.285,-13.74848,1
1.864928,-7.957446,2.507044,177.6954,-12.52317,1
1.373036,-7.110559,2.610956,176.9886,-9.375473,1
1.318298,-6.469676,2.726716,176.2167,-10.76168,1
1.762504,-6.368712,3.112991,175.5922,-15.02826,1
3.026364,-6.404524,3.805716,174.7043,-24.45604,1
4.331733,-6.452981,3.384536,175.3605,-33.37204,1
4.509036,-6.167017,2.873425,175.7038,-34.50193,1
4.339679,-5.765126,3.083229,174.6791,-33.57096,1
4.239879,-5.368371,2.99921,174.0457,-34.9431,1
4.626133,-5.179399,2.708858,174.256,-39.61497,1
5.437366,-5.550543,3.027722,174.4151,-41.3648,1
5.796396,-5.589459,3.342668,173.9283,-41.96621,1
6.029805,-5.356776,2.706736,174.671,-46.28802,1
5.978622,-5.034644,2.106022,175.3257,-48.45343,1
5.762919,-4.95052,1.952253,175.4892,-47.16286,1
5.761067,-5.042615,2.068236,175.3848,-46.35931,1
6.187969,-5.299073,2.393515,175.1723,-46.83406,1
6.689737,-5.794145,3.103312,174.7897,-45.10754,1
7.003723,-5.808377,3.212527,174.6089,-46.86771,1
7.37491,-5.445622,2.577235,175.1101,-52.15259,1
7.029568,-5.008373,2.168817,175.129,-52.6844,1
6.515868,-4.706926,1.854825,175.2789,-52.16442,1
6.250973,-4.900912,2.282701,174.6383,-48.11663,1
6.908397,-5.197208,2.989418,173.7837,-48.9782,1
7.823336,-5.765087,3.245105,174.4581,-49.99181,1
8.280118,-5.896283,3.084571,174.9684,-51.66163,1
7.661688,-5.569951,2.728403,175.0259,-50.92909,1
6.923493,-5.156173,2.353852,174.9958,-50.56869,1
6.798202,-5.226907,2.838414,174.1288,-48.17113,1
7.567739,-5.569603,3.509024,173.635,-49.00695,1
8.212627,-6.114964,3.644355,174.4566,-49.10846,1
7.991375,-5.804187,3.36754,174.3385,-50.29499,1
7.774454,-5.36018,2.646514,174.8291,-53.30111,1
7.405985,-4.976239,2.103537,175.2391,-54.39323,1
6.899072,-4.932327,2.068348,175.1976,-51.61984,1
7.557044,-5.411562,2.528216,175.1316,-51.51158,1
8.421215,-5.959509,3.301301,174.7486,-51.02381,1
7.793927,-5.553436,2.822089,174.8379,-51.48328,1
7.538344,-5.304675,2.657395,174.6611,-51.94601,1
7.232036,-5.179636,2.828109,174.0316,-50.42799,1
6.986668,-5.103485,3.097039,173.2721,-49.0338,1
7.025882,-5.287356,3.342041,173.243,-47.94308,1
7.728806,-5.651155,3.383539,173.9851,-49.93194,1
8.044599,-5.853435,3.429827,174.3257,-49.95161,1
7.599216,-5.68673,3.414464,174.0184,-48.53904,1
7.119762,-5.601958,3.424989,173.8174,-46.76532,1
6.969373,-5.649001,4.056098,172.8156,-44.29504,1
7.145458,-5.773888,4.515544,172.3533,-44.00938,1
7.275671,-6.004426,4.759693,172.5346,-43.27762,1
7.672741,-6.26856,5.190634,172.5349,-43.2459,1
7.818695,-6.169394,5.418678,171.9569,-43.68547,1
7.752832,-6.056616,4.908264,172.446,-45.26315,1
8.188869,-6.197213,4.38023,173.5358,-47.91133,1
9.152609,-6.596879,4.302091,174.3784,-49.91449,1
9.598248,-6.845835,4.616547,174.4229,-49.29684,1
9.93591,-6.936804,4.722096,174.4504,-49.98421,1
10.55543,-7.112176,4.39474,175.0786,-52.18039,1
11.28851,-7.586976,4.122561,175.9172,-52.86977,1
12.07332,-8.032484,3.921639,176.5347,-53.7522,1
12.47782,-8.337791,3.228565,177.3461,-54.62193,1
12.9704,-8.498514,2.469914,178.0494,-56.07384,1
13.22822,-8.698507,1.948056,178.5315,-56.11135,1
13.20648,-8.73414,1.749357,178.6981,-55.98954,1
12.82755,-8.723297,1.087365,179.1898,-55.39801,1
12.62328,-8.682878,0.3436673,179.7433,-55.37315,1
12.13767,-8.593763,0.1433777,179.8914,-54.42983,1
11.36804,-8.443995,0.08073569,179.9366,-52.93041,1
10.64591,-8.0977,-0.2832811,-89.74524,-52.47116,1
10.21399,-7.504753,-1.288272,-156.1425,-53.37585,1
9.982106,-6.814229,-2.342176,-171.3987,-54.31388,1
9.863084,-6.242964,-3.045586,-174.0616,-54.97745,1
9.208442,-5.924174,-3.532086,-173.8982,-52.52705,1
8.682059,-5.885776,-3.784794,-173.7235,-50.4176,1
8.880864,-6.089859,-3.610945,-174.4577,-51.52937,1
9.169386,-6.383293,-3.289157,-175.3981,-52.07302,1
8.747713,-6.21783,-2.959114,-175.6627,-51.73331,1
7.961743,-5.673681,-2.930473,-174.8075,-51.06493,1
7.03442,-4.752945,-3.422504,-171.074,-49.65636,1
6.380611,-3.923013,-3.95492,-164.9901,-48.19445,1
5.629981,-3.320487,-4.488454,-157.2796,-43.78421,1
5.234028,-3.200382,-4.404564,-156.7751,-43.38351,1
5.170953,-3.37865,-3.783844,-161.6981,-46.06855,1
5.119271,-3.550709,-2.813438,-167.3815,-49.32977,1
4.930377,-3.52908,-2.012389,-170.8939,-51.07769,1
4.263654,-3.286647,-1.341666,-173.1031,-49.96614,1
3.770164,-2.739417,-1.121912,-171.5077,-52.53039,1
3.381036,-2.268619,-1.153165,-167.0308,-53.44093,1
3.077254,-1.854637,-0.8718778,-165.8203,-57.65302,1
2.898956,-1.733185,-0.4047172,-172.7811,-58.9295,1
2.836425,-1.72437,0.4716334,81.10159,-56.2227,1
2.323397,-1.625201,1.590342,127.1458,-40.41509,1
1.952727,-1.34363,2.327911,122.928,-32.59126,1
1.809781,-1.041598,2.828337,110.7851,-29.30482,1
1.434667,-0.7003342,3.908731,98.7371,-16.90562,1
1.046401,-0.6275877,5.04972,95.09363,-9.52763,1
1.191748,-0.8661791,5.891619,97.50924,-11.23351,1
1.583623,-1.548918,6.624628,110.4603,-13.58317,1
2.478861,-2.238546,7.734437,122.9477,-18.15017,1
3.978768,-3.377019,8.665287,142.5558,-24.12861,1
4.708099,-3.871723,8.573206,150.0208,-27.65616,1
5.87804,-4.492795,9.36182,154.9851,-30.33622,1
6.867238,-5.217283,10.2072,159.3178,-31.32688,1
7.863324,-5.784471,10.34134,162.7653,-34.37246,1
8.661815,-6.042985,10.29766,164.3242,-36.71523,1
9.331898,-6.204578,9.994045,165.5668,-39.22312,1
9.449141,-6.517916,9.740373,167.1703,-39.02013,1
9.825012,-6.964359,9.892433,168.5327,-39.14205,1
10.70368,-7.805004,9.63237,170.9584,-41.31703,1
11.39201,-8.347361,9.301598,172.3865,-42.82661,1
12.0974,-8.795393,8.892096,173.4563,-44.57527,1
12.85195,-9.09774,7.900873,174.5676,-47.72397,1
13.39074,-9.044041,6.864777,175.2485,-50.63138,1
13.61522,-8.930059,5.944953,175.7885,-52.43616,1
14.04124,-9.142181,5.492336,176.2778,-53.09933,1
14.76545,-9.407099,4.944634,176.8297,-54.70719,1
14.76515,-9.699579,4.601209,177.2225,-53.87786,1
15.06853,-9.887621,3.561862,177.9265,-55.42027,1
16.1505,-9.557627,0.4888217,-90.2899,-59.73145,1
16.12056,-9.26675,-0.2764292,-157.3049,-60.31108,1
15.87426,-9.064745,-0.6670592,-173.9094,-60.23166,1
15.77138,-9.051952,-0.5959254,-178.1814,-60.05477,1
15.49786,-9.251663,-0.6715158,-179.2052,-58.76295,1
15.24273,-9.4632,-0.476731,-179.609,-57.80732,1
14.57202,-9.332927,-0.5734825,-179.6042,-57.02462,1
14.09549,-9.294971,-1.077109,-179.287,-56.09887,1
12.84225,-9.182105,-1.588236,-178.9299,-53.60066,1
12.21935,-9.212375,-2.038284,-178.6364,-51.72277,1
12.22164,-9.329477,-2.816983,-178.1661,-51.10424,1
11.98159,-9.139683,-3.634749,-177.5222,-50.29757,1
10.92679,-8.702579,-4.031324,-176.9581,-48.01767,1
9.772446,-8.347299,-4.247186,-176.5199,-45.28878,1
8.975691,-7.929873,-4.258056,-176.1363,-44.44608,1
8.255763,-7.238339,-4.736621,-174.7914,-43.157,1
6.915687,-5.745078,-5.402422,-170.5816,-41.00742,1
5.934337,-4.96652,-5.656578,-166.823,-37.06249,1
4.875569,-4.321172,-5.779373,-162.5012,-32.4133,1
4.706047,-4.163426,-5.167228,-163.4235,-35.80927,1
4.897101,-4.170677,-4.080453,-166.8781,-41.59094,1
4.837126,-3.939055,-3.695634,-166.7051,-42.49789,1
4.186471,-3.491493,-3.83825,-162.3844,-37.75719,1
3.749707,-2.817423,-3.645792,-155.3846,-39.57162,1
3.465182,-2.571937,-2.230911,-161.6963,-47.16218,1
3.561568,-2.038205,-1.938584,-154.7386,-53.93356,1
3.346843,-1.306821,-2.325188,-125.4794,-50.76685,1
2.774219,-0.7810049,-2.382335,-105.9432,-46.2085,1
2.455089,-0.6710988,-1.572418,-107.6661,-58.33237,1
3.035015,-0.8769215,0.3237019,68.86822,-70.27608,1
2.716013,-0.6860997,1.303764,95.55518,-56.2271,1
2.101159,-0.629416,2.234718,97.9279,-35.92358,1
1.748128,-0.4069495,3.349122,93.40587,-23.58037,1
1.790953,-0.3154199,4.046109,91.81647,-22.83128,1
2.291872,-0.3805244,4.739299,92.0927,-26.24741,1
2.609236,-0.1633658,5.578784,90.71426,-24.86153,1
2.063691,-0.213224,6.541032,90.60612,-15.32809,1
1.32217,-0.908036,7.363386,97.4213,-7.925272,1
1.628798,-1.519878,7.718013,107.5023,-12.17439,1
3.043216,-2.215125,8.431557,120.5532,-21.31424,1
5.090119,-3.053328,8.983438,135.7983,-30.61604,1
6.97911,-3.674083,8.807169,146.6882,-38.48515,1
7.918226,-4.258432,8.40038,154.9586,-41.24331,1
8.478018,-4.580493,8.668588,157.6899,-41.0964,1
9.260809,-4.691535,9.087586,157.9027,-42.56289,1
10.18015,-4.932978,8.915806,160.2008,-45.85325,1
11.11568,-5.309373,8.669952,163.1383,-48.35125,1
